smiles	fraction_unbound
Nc1nc(OC2CCCC2)nc3c1ncn3[C@@H]4O[C@H](CF)[C@H](N=[N+]=[N-])[C@H]4O	19
C[C@@H]1CC[C@H](CC1)Oc2nc(N)c3ncn([C@@H]4O[C@H](C)[C@@H](O)[C@H]4O)c3n2	27
C[C@H]1O[C@H]([C@H](O)[C@H]1Cl)n2cnc3c(N)nc(OCC4CC45CC5)nc23	4
O=C(Nc1ccccc1)N2C[C@@H](C=C3[C@H]2Cc4c[nH]c5cccc3c45)C(=O)N6CCCC6	3
CN(C)CCn1cc2C[C@H]3N(C[C@@H](C=C3c4cccc1c24)C(=O)N5CCCC5)C(=O)Nc6ccccc6	7
OCCn1cc2C[C@H]3N(C[C@@H](C=C3c4cccc1c24)C(=O)N5CCCC5)C(=O)Nc6ccccc6	8
COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)N5CC6CN(CCO)CC(C5)O6	5
COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)N5CCN(CC5)C(=O)C	5
CC(C)(C)OC(=O)NC[C@@H]1CC[C@@H](CNC(=O)c2cc(nc3ccccc23)c4ccccc4)CC1	0.1
CC(C)(C)OC(=O)NC[C@@H]1CC[C@@H](CNC(=O)c2cc(nc3ccccc23)c4cccc(CN)c4)CC1	1.4
CC(C)(C)OC(=O)NC[C@@H]1CC[C@@H](CNC(=O)c2cc(nc3ccccc23)N4CCC(CCN5CC(O)C5)CC4)CC1	3.3
CN(C)CCC1CCN(CC1)c2cc(C(=O)NC[C@@H]3CC[C@@H](CNC(=O)OC(C)(C)C)CC3)c4ccccc4n2	3.4
O=C(NCC1(CCCC1)N2CCCCC2)N3CCC(CC3)c4onc(n4)c5ccc6ccccc6n5	92.5
O=C(NCC1(CCCC1)N2CCOCC2)N3CCC(CC3)c4onc(n4)c5ccc6ccccc6n5	96.7
O=C(NC1CCCCC1)N2CCC(CC2)c3onc(n3)c4ccc5ccccc5n4	0.5
Clc1ccccc1NC(=O)N2CCC(CC2)c3onc(n3)c4ccc5ccccc5n4	0.5
[11CH3]Oc1c(Cl)cc(Cl)cc1NS(=O)(=O)c2ccc(OC)c(c2)N3CCNCC3	1
N(c1ccccn1)c2nc(cs2)c3cn[nH]c3	3.5
Cc1ccc(Nc2nc(N[C@@H]3CCOC[C@@H]3N)ncc2C(=O)N)cc1	13
CN(CC#C)[C@H](C[18F])Cc1ccccc1	16.8
CCCc1ccc(cc1C#Cc2cc(Cl)ccc2OCC(=O)O)S(=O)(=O)C	0.2
CC(C)NS(=O)(=O)c1ccc(C)c(c1)C#Cc2cc(Cl)ccc2OCC(=O)O	0.4
CCCS(=O)(=O)c1ccc(C)c(c1)C#Cc2cc(Cl)ccc2OCC(=O)O	0.4
CN(C)S(=O)(=O)c1ccc(C)c(c1)C#Cc2cc(Cl)ccc2OCC(=O)O	0.4
Cc1ccc(cc1C#Cc2cc(Cl)ccc2OCC(=O)O)S(=O)(=O)CCCO	1.5
COCCN(C)S(=O)(=O)c1ccc(C)c(c1)C#Cc2cc(Cl)ccc2OCC(=O)O	0.6
CN(C)S(=O)(=O)c1cncc(c1)C#Cc2cc(Cl)ccc2OCC(=O)O	3.3
OCCS(=O)(=O)c1cccc(c1)C#Cc2cc(Cl)ccc2OCC(=O)O	4.7
OC(=O)COc1ccc(Cl)cc1C#Cc2ccc3c4ccccc4S(=O)(=O)c3c2	0.1
OC(=O)COc1ccc(Cl)cc1C#Cc2cccnc2	2.9
CCNS(=O)(=O)c1ccc(C)c(c1)C#Cc2cc(Cl)ccc2OCC(=O)O	0.5
CS(=O)(=O)c1ccc(Cl)c(c1)C#Cc2cc(Cl)ccc2OCC(=O)O	0.7
CN(C)S(=O)(=O)c1ccc(F)c(c1)C#Cc2cc(Cl)ccc2OCC(=O)O	0.9
CC(C)N(C)S(=O)(=O)c1ccc(C)c(c1)C#Cc2cc(Cl)ccc2OCC(=O)O	0.2
CCCS(=O)(=O)c1cccc(c1)C#Cc2cc(Cl)ccc2OCC(=O)O	0.8
CS(=O)(=O)c1ccc(F)c(c1)C#Cc2cc(Cl)ccc2OCC(=O)O	1.3
CC(C)c1ccc(cc1C#Cc2cc(Cl)ccc2OCC(=O)O)S(=O)(=O)C	0.3
Cc1ccc(cc1C#Cc2cc(Cl)ccc2OCC(=O)O)S(=O)(=O)C	1.7
CCCS(=O)(=O)c1ccc(Cl)c(c1)C#Cc2cc(Cl)ccc2OCC(=O)O	0.3
CCCS(=O)(=O)c1ccc(F)c(c1)C#Cc2cc(Cl)ccc2OCC(=O)O	1
OC(=O)COc1ccc(Cl)cc1C#Cc2cccc(Cl)c2	0.3
CN[C@@H]1CCN(C1)c2nc(N)nc3c2oc4ncc(Cl)cc34	43
O=C1COc2ccccc2N1CCN3CCC(CC3)NCc4cc5OCCOc5cn4	26
COc1ccc2C(=CC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2c1)C	11
COc1ccc2N=NC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1	44
COc1ncc2N=CC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2n1	96
COc1ccc2C(=NC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2c1)C	40
COc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2c1	18
COc1ccc2SCC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2c1	9
